Country,City,Charging_Station_ID,Charging_Station_Type,EV_Model,Manufacturer,Battery_Capacity_kWh,Charging_Start_Time,Charging_End_Time,Charging_Duration_mins,Energy_Delivered_kWh,Charging_Cost_$,Payment_Method,Temperature,Charging_Session_Outcome,Station_Utilization_Rate
Germany,Berlin,CS-8195,DC Fast,Hyundai Kona Electric,Hyundai,64,31-Mar-25,31-Mar-25,77,18.17,5.83,Subscription,30.7,Completed,57.2
USA,New York,CS-5103,DC Fast,Nissan Leaf,Nissan,40,8-Mar-25,8-Mar-25,70,13.14,3.69,Card,23.6,Failed,53.6
France,Lyon,CS-4527,Level 1,BYD Han,BYD,76,21-Jan-25,21-Jan-25,86,62.47,6.37,Subscription,11.9,Aborted,22.4
India,Mumbai,CS-5717,DC Fast,Nissan Leaf,Nissan,40,4-Apr-25,4-Apr-25,112,8.39,2.97,App,27.3,Failed,46.8
Germany,Munich,CS-5093,Level 2,Nissan Leaf,Nissan,40,27-Mar-25,27-Mar-25,156,15.26,4.4,Subscription,2.7,Completed,13.7
France,Lyon,CS-5453,Level 2,Nissan Leaf,Nissan,40,28-Feb-25,28-Feb-25,74,35.33,7.56,Subscription,28.4,Completed,39.6
France,Nice,CS-9000,DC Fast,Hyundai Kona Electric,Hyundai,64,2-Mar-25,2-Mar-25,180,9.21,2.68,Subscription,4.8,Aborted,40.4
Japan,Tokyo,CS-6111,Level 2,Audi e-tron,Audi,95,6-Mar-25,6-Mar-25,29,25.61,2.81,App,5.7,Completed,83.1
Australia,Brisbane,CS-3469,DC Fast,Audi e-tron,Audi,95,14-Feb-25,14-Feb-25,69,63.99,13.99,App,0.7,Completed,29.7
Japan,Yokohama,CS-5773,Level 2,Hyundai Kona Electric,Hyundai,64,10-Jan-25,10-Jan-25,164,30.28,8.33,Card,34.9,Completed,50.8
Germany,Berlin,CS-3959,Level 2,Nissan Leaf,Nissan,40,2-Mar-25,2-Mar-25,54,26.96,9.1,Subscription,-2.5,Aborted,57.7
Norway,Trondheim,CS-1805,DC Fast,Hyundai Kona Electric,Hyundai,64,24-Mar-25,24-Mar-25,156,55.79,5.77,Card,22.3,Failed,70.1
India,Mumbai,CS-3305,DC Fast,Hyundai Kona Electric,Hyundai,64,25-Mar-25,25-Mar-25,126,14.33,1.45,Subscription,5.5,Failed,71
Japan,Tokyo,CS-8887,Level 2,Hyundai Kona Electric,Hyundai,64,21-Mar-25,21-Mar-25,178,34.95,5.58,Card,16.6,Failed,83.5
Australia,Melbourne,CS-9340,Level 2,Kia EV6,Kia,77,17-Jan-25,17-Jan-25,19,13.05,2.73,Card,-2.7,Failed,85.8
Germany,Hamburg,CS-5810,Level 1,Kia EV6,Kia,77,9-Mar-25,9-Mar-25,32,75.41,19.59,Card,21.4,Failed,23.2
Japan,Yokohama,CS-7364,DC Fast,Porsche Taycan,Porsche,93,29-Mar-25,29-Mar-25,69,86.74,28.33,Card,23.5,Aborted,89.6
India,Delhi,CS-4910,Level 2,Renault Zoe,Renault,52,9-Feb-25,10-Feb-25,130,10.69,1.79,Card,18.5,Completed,57.1
USA,New York,CS-3046,Level 2,Tesla Model 3,Tesla,60,22-Feb-25,22-Feb-25,73,8.71,0.95,Card,15.6,Aborted,63.5
France,Nice,CS-8586,Level 2,BMW i3,BMW,42,28-Jan-25,28-Jan-25,161,26.32,4.55,App,2.6,Completed,62.7
India,Delhi,CS-3995,DC Fast,Porsche Taycan,Porsche,93,16-Feb-25,16-Feb-25,134,81.02,9.42,Subscription,-1.1,Aborted,68.3
Germany,Berlin,CS-7819,Level 1,Chevy Bolt,Chevrolet,66,7-Feb-25,7-Feb-25,63,37.71,5.36,App,13.5,Completed,45.5
Japan,Tokyo,CS-9276,Level 1,Tesla Model 3,Tesla,60,11-Jan-25,12-Jan-25,153,50.98,19.92,Card,11.3,Aborted,27.1
Canada,Toronto,CS-3402,Level 2,BMW i3,BMW,42,15-Jan-25,15-Jan-25,112,5.08,1.1,App,11.9,Failed,89.6
Japan,Yokohama,CS-2183,Level 1,Kia EV6,Kia,77,28-Feb-25,28-Feb-25,54,18.67,3.09,Subscription,24.4,Completed,69.8
USA,New York,CS-3616,Level 1,BYD Han,BYD,76,10-Jan-25,10-Jan-25,137,40.7,14.48,Card,33.4,Completed,78.1
Germany,Hamburg,CS-8534,DC Fast,Nissan Leaf,Nissan,40,5-Mar-25,5-Mar-25,75,19.13,7.32,Card,18.2,Completed,59.6
Canada,Montreal,CS-3579,Level 1,BYD Han,BYD,76,31-Mar-25,31-Mar-25,159,42.12,16.02,Subscription,23.6,Completed,31.2
UK,Birmingham,CS-7068,Level 1,Hyundai Kona Electric,Hyundai,64,23-Jan-25,23-Jan-25,132,23.65,7.7,Card,13.3,Failed,89.7
Germany,Hamburg,CS-3005,Level 1,Chevy Bolt,Chevrolet,66,3-Apr-25,3-Apr-25,144,21.18,8.05,Card,9.8,Completed,45.1
Japan,Yokohama,CS-2680,DC Fast,Hyundai Kona Electric,Hyundai,64,19-Feb-25,19-Feb-25,171,63.05,21.57,Card,21.7,Failed,34
Germany,Berlin,CS-4174,Level 1,Hyundai Kona Electric,Hyundai,64,22-Mar-25,22-Mar-25,44,57.49,18.55,App,6.3,Completed,67.4
France,Nice,CS-1037,Level 1,Hyundai Kona Electric,Hyundai,64,21-Mar-25,21-Mar-25,144,33.82,12.57,Card,20.4,Aborted,13.5
India,Mumbai,CS-4900,Level 2,Hyundai Kona Electric,Hyundai,64,7-Mar-25,7-Mar-25,56,48.73,12.94,Subscription,-4.6,Completed,85.6
UK,Birmingham,CS-1369,Level 1,Tesla Model 3,Tesla,60,13-Feb-25,14-Feb-25,109,37.04,5.35,Card,7.3,Completed,81.9
France,Nice,CS-4782,Level 2,Chevy Bolt,Chevrolet,66,4-Feb-25,4-Feb-25,41,26.57,7.12,Subscription,25,Completed,79.2
UK,Manchester,CS-6751,Level 2,Tesla Model 3,Tesla,60,3-Feb-25,3-Feb-25,60,45.51,9.09,Subscription,29.6,Completed,31.3
Germany,Munich,CS-1705,Level 2,Tesla Model 3,Tesla,60,9-Mar-25,9-Mar-25,135,17.23,5.94,App,7.2,Completed,27.8
France,Lyon,CS-7329,Level 2,Audi e-tron,Audi,95,17-Jan-25,17-Jan-25,86,82.79,32.29,App,20.7,Aborted,64.4
Japan,Osaka,CS-9793,DC Fast,Tesla Model 3,Tesla,60,18-Mar-25,18-Mar-25,44,53.24,9.5,App,-3.5,Failed,44.8
India,Delhi,CS-4556,Level 1,BYD Han,BYD,76,19-Feb-25,19-Feb-25,145,13.21,4.89,App,-3.2,Aborted,10.1
Japan,Yokohama,CS-6286,Level 2,Chevy Bolt,Chevrolet,66,1-Apr-25,1-Apr-25,108,31.31,12.04,Subscription,7.6,Completed,67.6
China,Shenzhen,CS-9301,DC Fast,Hyundai Kona Electric,Hyundai,64,22-Feb-25,22-Feb-25,119,24.24,7.49,Card,2.7,Failed,85.2
UK,Birmingham,CS-1461,Level 2,BYD Han,BYD,76,8-Jan-25,8-Jan-25,92,33.83,11.84,App,3.4,Failed,58.5
India,Delhi,CS-1698,DC Fast,Kia EV6,Kia,77,22-Mar-25,22-Mar-25,128,53.65,13.59,Card,21.4,Aborted,51.2
Australia,Melbourne,CS-9163,Level 1,Nissan Leaf,Nissan,40,21-Mar-25,21-Mar-25,75,28.55,4.78,Card,-4,Completed,88.7
Australia,Sydney,CS-1429,DC Fast,Kia EV6,Kia,77,15-Feb-25,15-Feb-25,121,68.8,18.76,Subscription,10.4,Aborted,29.5
USA,New York,CS-3576,DC Fast,Porsche Taycan,Porsche,93,11-Jan-25,11-Jan-25,71,20.48,7.93,App,-3,Completed,83.4
Germany,Munich,CS-3820,DC Fast,BMW i3,BMW,42,15-Mar-25,16-Mar-25,133,29.7,11.77,App,33,Aborted,59
Japan,Osaka,CS-5814,Level 2,Renault Zoe,Renault,52,24-Feb-25,24-Feb-25,129,47.17,15.24,App,5.4,Completed,77.2
China,Shenzhen,CS-5569,DC Fast,Kia EV6,Kia,77,15-Mar-25,15-Mar-25,175,22.23,5.16,App,4.4,Aborted,35.6
Japan,Tokyo,CS-3315,DC Fast,BMW i3,BMW,42,28-Mar-25,28-Mar-25,53,13.56,4.18,Card,-2.4,Aborted,36.5
Norway,Bergen,CS-5014,DC Fast,Tesla Model 3,Tesla,60,9-Mar-25,9-Mar-25,67,50.81,11.02,Subscription,-4.2,Failed,40.4
USA,Los Angeles,CS-2949,Level 2,Hyundai Kona Electric,Hyundai,64,7-Feb-25,8-Feb-25,114,55.35,21.37,Subscription,24.9,Failed,74
France,Lyon,CS-1171,Level 2,Chevy Bolt,Chevrolet,66,22-Jan-25,22-Jan-25,84,31.59,3.43,Subscription,22.2,Aborted,67.9
Norway,Oslo,CS-4005,DC Fast,BYD Han,BYD,76,26-Jan-25,27-Jan-25,151,6.91,1.51,Subscription,-3.9,Failed,44.3
Norway,Oslo,CS-8262,Level 2,Tesla Model 3,Tesla,60,26-Jan-25,26-Jan-25,81,25.85,4.23,App,25.4,Aborted,32.3
Canada,Vancouver,CS-7745,Level 2,Nissan Leaf,Nissan,40,17-Feb-25,17-Feb-25,135,5.68,1.49,Card,21,Failed,13.2
USA,New York,CS-7096,Level 2,Chevy Bolt,Chevrolet,66,17-Mar-25,17-Mar-25,20,42.9,7.36,Subscription,-0.4,Completed,47.2
China,Shanghai,CS-1077,Level 1,BMW i3,BMW,42,26-Feb-25,26-Feb-25,170,27.47,8.91,Card,33.6,Completed,56.3
China,Shenzhen,CS-9333,DC Fast,Porsche Taycan,Porsche,93,12-Jan-25,12-Jan-25,116,87.85,14.01,Subscription,28.2,Completed,18.2
China,Shenzhen,CS-2898,Level 1,BYD Han,BYD,76,20-Mar-25,20-Mar-25,45,61.53,16.6,App,16.3,Failed,39.6
Japan,Yokohama,CS-7512,Level 1,Audi e-tron,Audi,95,3-Mar-25,3-Mar-25,18,81.46,28.24,App,33.4,Failed,81.3
Norway,Trondheim,CS-4261,DC Fast,BMW i3,BMW,42,22-Mar-25,22-Mar-25,126,11.52,2.96,App,19.6,Failed,72
Norway,Bergen,CS-2152,Level 1,BYD Han,BYD,76,6-Feb-25,6-Feb-25,83,27.88,4.84,App,30.3,Completed,70
Australia,Brisbane,CS-3115,Level 1,Porsche Taycan,Porsche,93,1-Apr-25,1-Apr-25,101,7.53,2.68,App,3.5,Aborted,37.2
Australia,Brisbane,CS-3992,Level 1,Hyundai Kona Electric,Hyundai,64,12-Feb-25,12-Feb-25,157,5.6,2.15,Card,23.8,Aborted,54.4
France,Nice,CS-1913,Level 1,Kia EV6,Kia,77,22-Jan-25,22-Jan-25,180,56.25,13.19,Card,6.8,Aborted,65.3
China,Shenzhen,CS-9110,Level 2,BYD Han,BYD,76,13-Feb-25,13-Feb-25,109,38.6,10.01,Subscription,17,Aborted,66.2
China,Shanghai,CS-3527,Level 1,Hyundai Kona Electric,Hyundai,64,26-Jan-25,26-Jan-25,74,12.12,1.91,Subscription,16.4,Failed,24.8
France,Nice,CS-9921,DC Fast,Kia EV6,Kia,77,1-Apr-25,1-Apr-25,85,57.17,22.47,Subscription,6.3,Completed,76.6
China,Beijing,CS-9759,Level 1,Audi e-tron,Audi,95,18-Jan-25,18-Jan-25,60,32.2,10.06,App,-3.2,Completed,54.3
UK,Birmingham,CS-4519,Level 2,Kia EV6,Kia,77,20-Mar-25,20-Mar-25,41,67.84,18.47,App,12.6,Completed,87.2
China,Shanghai,CS-5877,DC Fast,Nissan Leaf,Nissan,40,9-Jan-25,9-Jan-25,31,19.02,2.32,Subscription,-2.9,Completed,74.9
China,Beijing,CS-5422,DC Fast,Chevy Bolt,Chevrolet,66,23-Feb-25,23-Feb-25,45,39.04,8.78,Subscription,4,Failed,40.4
Norway,Bergen,CS-9253,DC Fast,BYD Han,BYD,76,15-Feb-25,15-Feb-25,124,26.68,7.64,Subscription,-1,Completed,60
China,Shenzhen,CS-5345,Level 1,Nissan Leaf,Nissan,40,18-Mar-25,18-Mar-25,55,13.4,3.56,Card,11.3,Failed,57.5
China,Beijing,CS-6605,Level 2,Chevy Bolt,Chevrolet,66,15-Feb-25,15-Feb-25,88,48.12,14.96,Card,22.5,Aborted,73
Australia,Brisbane,CS-9053,Level 1,Chevy Bolt,Chevrolet,66,26-Mar-25,26-Mar-25,123,12,2.01,App,28.1,Completed,14.8
China,Shenzhen,CS-3083,Level 2,BYD Han,BYD,76,26-Jan-25,26-Jan-25,88,36.18,8.71,Subscription,11.1,Aborted,50
Norway,Bergen,CS-3049,Level 2,Nissan Leaf,Nissan,40,6-Apr-25,7-Apr-25,168,6.4,1.47,Subscription,5,Completed,28.3
Australia,Brisbane,CS-4416,Level 1,Tesla Model 3,Tesla,60,11-Jan-25,11-Jan-25,83,36.69,12.07,App,15.8,Aborted,83.3
UK,Birmingham,CS-3457,Level 2,Porsche Taycan,Porsche,93,21-Mar-25,22-Mar-25,177,76.65,29.95,App,11.3,Aborted,63.6
UK,Manchester,CS-1711,DC Fast,Porsche Taycan,Porsche,93,17-Feb-25,17-Feb-25,141,30.36,11.64,Card,13.2,Aborted,30.2
Germany,Munich,CS-2153,Level 2,Renault Zoe,Renault,52,18-Mar-25,18-Mar-25,15,35.91,9.44,Card,2.5,Aborted,59.8
Norway,Trondheim,CS-4202,Level 2,Kia EV6,Kia,77,5-Mar-25,5-Mar-25,28,19.66,5.21,App,30.2,Aborted,19.7
Australia,Sydney,CS-6779,Level 1,BMW i3,BMW,42,18-Mar-25,18-Mar-25,94,25.38,6.74,Card,34.7,Completed,46.9
Germany,Hamburg,CS-8875,DC Fast,BMW i3,BMW,42,8-Feb-25,8-Feb-25,142,39.51,7.41,App,11.6,Aborted,88.4
France,Lyon,CS-1106,DC Fast,Renault Zoe,Renault,52,4-Apr-25,4-Apr-25,52,23.03,8.67,Subscription,30.2,Completed,32.1
Canada,Vancouver,CS-3984,Level 2,Renault Zoe,Renault,52,7-Mar-25,7-Mar-25,83,43.57,8.05,Subscription,18.2,Failed,49.2
UK,Manchester,CS-4506,DC Fast,Renault Zoe,Renault,52,22-Mar-25,22-Mar-25,138,21.22,5.64,App,13.2,Aborted,79.6
France,Nice,CS-4445,Level 2,Porsche Taycan,Porsche,93,28-Feb-25,28-Feb-25,74,80.33,17.93,Subscription,13.9,Aborted,40.9
UK,Manchester,CS-7366,Level 1,Tesla Model 3,Tesla,60,5-Mar-25,5-Mar-25,47,32.63,9.04,App,-1,Aborted,11.2
UK,Manchester,CS-1248,Level 2,BMW i3,BMW,42,28-Feb-25,28-Feb-25,34,22.37,8.74,Subscription,22.7,Failed,16.4
India,Bangalore,CS-5442,Level 2,Renault Zoe,Renault,52,27-Jan-25,27-Jan-25,112,49.84,14.36,Subscription,-3.6,Completed,28.8
China,Beijing,CS-5801,DC Fast,Nissan Leaf,Nissan,40,16-Feb-25,16-Feb-25,126,39.24,12.88,Card,12.7,Failed,34
USA,New York,CS-4502,Level 1,Audi e-tron,Audi,95,6-Apr-25,6-Apr-25,29,31.4,6.67,Card,16.2,Failed,64.5
UK,London,CS-9879,DC Fast,BMW i3,BMW,42,16-Jan-25,16-Jan-25,35,27.55,5.92,Card,14.9,Failed,21.4
Norway,Trondheim,CS-2472,Level 2,Hyundai Kona Electric,Hyundai,64,7-Mar-25,7-Mar-25,132,20.06,2.06,App,22.1,Completed,15.9
India,Bangalore,CS-5785,Level 2,Hyundai Kona Electric,Hyundai,64,12-Jan-25,12-Jan-25,178,61.76,18.97,App,3,Aborted,78.3
Germany,Berlin,CS-7011,DC Fast,Porsche Taycan,Porsche,93,27-Mar-25,27-Mar-25,161,36.59,6.91,App,-4.1,Failed,41.7
USA,San Francisco,CS-6700,Level 2,Tesla Model 3,Tesla,60,26-Feb-25,26-Feb-25,170,45.98,16.09,Card,19.3,Aborted,27.5
France,Nice,CS-4986,DC Fast,Hyundai Kona Electric,Hyundai,64,25-Feb-25,25-Feb-25,50,42.07,15.61,Card,7.4,Aborted,12.7
India,Bangalore,CS-6433,Level 2,BMW i3,BMW,42,5-Feb-25,5-Feb-25,38,38.66,7.66,Card,3,Failed,80.1
India,Bangalore,CS-2809,Level 2,Renault Zoe,Renault,52,9-Jan-25,9-Jan-25,84,44.03,7.8,App,24.9,Aborted,74.3
Norway,Oslo,CS-6738,Level 2,BMW i3,BMW,42,29-Mar-25,29-Mar-25,72,36.83,11.68,Subscription,9.6,Aborted,11.1
Japan,Tokyo,CS-7051,DC Fast,Kia EV6,Kia,77,16-Mar-25,16-Mar-25,109,53.44,16.12,App,27.9,Aborted,18.7
France,Lyon,CS-4418,DC Fast,Tesla Model 3,Tesla,60,26-Feb-25,26-Feb-25,173,53.63,14.4,Card,20.9,Failed,75.9
China,Shenzhen,CS-1067,Level 2,Porsche Taycan,Porsche,93,27-Mar-25,27-Mar-25,44,17.3,6.64,App,-0.4,Completed,81
UK,Manchester,CS-1681,DC Fast,Kia EV6,Kia,77,21-Feb-25,21-Feb-25,109,53.28,17.21,App,18.5,Failed,22.4
Canada,Montreal,CS-6682,Level 2,Nissan Leaf,Nissan,40,27-Feb-25,27-Feb-25,140,26.55,10.13,Card,22.6,Completed,45.5
France,Lyon,CS-1451,Level 2,Nissan Leaf,Nissan,40,28-Jan-25,28-Jan-25,109,24.06,9.46,Card,10.9,Completed,87.5
Norway,Oslo,CS-7809,Level 1,Chevy Bolt,Chevrolet,66,1-Feb-25,1-Feb-25,179,44.01,17.22,App,4.7,Completed,73
France,Paris,CS-6754,Level 1,Renault Zoe,Renault,52,14-Jan-25,14-Jan-25,68,32.56,11.2,App,26,Failed,10.2
UK,London,CS-9331,Level 1,Renault Zoe,Renault,52,15-Feb-25,15-Feb-25,79,42.53,5.66,Card,-4.4,Completed,57.1
USA,New York,CS-2637,Level 1,Hyundai Kona Electric,Hyundai,64,16-Jan-25,16-Jan-25,28,12.48,2.82,Subscription,-2.5,Aborted,72.2
Japan,Yokohama,CS-3171,Level 1,Nissan Leaf,Nissan,40,14-Mar-25,14-Mar-25,130,22.63,8.68,Subscription,26.3,Failed,51.7
Norway,Trondheim,CS-2120,Level 2,Tesla Model 3,Tesla,60,11-Mar-25,11-Mar-25,30,59.92,21.22,Subscription,-0.7,Failed,82.8
Germany,Berlin,CS-3623,DC Fast,Audi e-tron,Audi,95,17-Mar-25,17-Mar-25,170,18.35,2.53,Subscription,18.4,Failed,36
Australia,Brisbane,CS-8159,DC Fast,Hyundai Kona Electric,Hyundai,64,6-Mar-25,6-Mar-25,131,34.83,7.98,Card,29.1,Failed,80.2
Japan,Yokohama,CS-4441,Level 2,Chevy Bolt,Chevrolet,66,9-Feb-25,9-Feb-25,125,32.54,5.48,App,10.9,Failed,17.6
Canada,Vancouver,CS-6273,Level 2,Hyundai Kona Electric,Hyundai,64,11-Mar-25,11-Mar-25,110,61.26,18.75,Card,-1.4,Completed,17.5
Germany,Hamburg,CS-5342,DC Fast,Audi e-tron,Audi,95,2-Feb-25,2-Feb-25,48,55.07,15.2,Subscription,8.2,Completed,42.9
Canada,Montreal,CS-6244,DC Fast,Tesla Model 3,Tesla,60,20-Jan-25,20-Jan-25,88,38.02,7.81,Subscription,3.5,Failed,48.6
Germany,Munich,CS-1382,Level 1,Renault Zoe,Renault,52,4-Feb-25,4-Feb-25,109,10.4,1.91,App,28.8,Failed,59.1
Japan,Tokyo,CS-3300,Level 2,BYD Han,BYD,76,4-Feb-25,4-Feb-25,83,7.06,1.28,App,9,Completed,79.6
Australia,Brisbane,CS-9929,Level 1,Porsche Taycan,Porsche,93,24-Mar-25,24-Mar-25,32,17.48,5.07,Card,24.8,Completed,40.1
Norway,Bergen,CS-5362,DC Fast,BMW i3,BMW,42,4-Mar-25,4-Mar-25,109,16.53,3.26,Subscription,-1.6,Completed,22.4
Australia,Sydney,CS-7185,DC Fast,Nissan Leaf,Nissan,40,8-Feb-25,8-Feb-25,84,20.51,4.66,App,11.6,Completed,70.4
Germany,Munich,CS-2207,Level 2,Porsche Taycan,Porsche,93,25-Mar-25,25-Mar-25,43,29.93,9.09,Subscription,21.7,Completed,27.6
Australia,Sydney,CS-9744,Level 1,Tesla Model 3,Tesla,60,24-Feb-25,24-Feb-25,67,21.58,3.53,App,6.6,Completed,10.6
Canada,Toronto,CS-6737,DC Fast,BMW i3,BMW,42,2-Mar-25,2-Mar-25,112,24.71,4.18,Subscription,27.2,Completed,41.8
USA,Los Angeles,CS-7469,DC Fast,Tesla Model 3,Tesla,60,2-Feb-25,2-Feb-25,132,55.66,19.96,App,17.9,Failed,61.2
China,Beijing,CS-1931,DC Fast,Porsche Taycan,Porsche,93,3-Mar-25,3-Mar-25,20,90.03,13.65,App,28.3,Aborted,17.1
Germany,Berlin,CS-7820,Level 2,Porsche Taycan,Porsche,93,6-Mar-25,6-Mar-25,165,40.24,4.97,Subscription,8.6,Aborted,72.3
Germany,Hamburg,CS-3087,Level 2,Nissan Leaf,Nissan,40,28-Mar-25,28-Mar-25,150,22.85,8.5,App,24.1,Failed,75.2
France,Paris,CS-2665,DC Fast,BMW i3,BMW,42,30-Mar-25,30-Mar-25,80,12.3,3.45,Card,2.1,Failed,49.5
Australia,Brisbane,CS-3756,Level 2,Kia EV6,Kia,77,8-Mar-25,8-Mar-25,159,51.3,20.31,Subscription,7.6,Aborted,15.5
Norway,Trondheim,CS-1010,Level 1,Hyundai Kona Electric,Hyundai,64,16-Feb-25,16-Feb-25,85,39.89,8.2,App,13.5,Completed,14.6
China,Beijing,CS-6961,DC Fast,Nissan Leaf,Nissan,40,4-Mar-25,4-Mar-25,172,25.79,5.55,Subscription,33.2,Failed,81.7
Norway,Trondheim,CS-8456,Level 1,Chevy Bolt,Chevrolet,66,30-Jan-25,30-Jan-25,97,41.91,10.49,App,-0.9,Aborted,88.6
Germany,Hamburg,CS-6268,Level 2,BMW i3,BMW,42,22-Jan-25,22-Jan-25,25,14.17,3.28,Subscription,15.9,Completed,39.1
China,Shanghai,CS-3715,DC Fast,Porsche Taycan,Porsche,93,18-Jan-25,18-Jan-25,101,64.74,7.49,Subscription,8.4,Aborted,17.6
Canada,Vancouver,CS-1623,DC Fast,Hyundai Kona Electric,Hyundai,64,25-Feb-25,25-Feb-25,169,56.52,11.3,Subscription,0.7,Aborted,34.8
Canada,Toronto,CS-4149,Level 2,BYD Han,BYD,76,17-Jan-25,17-Jan-25,36,26.98,5.75,Card,21.8,Failed,89.8
Japan,Tokyo,CS-3939,Level 1,Porsche Taycan,Porsche,93,31-Jan-25,31-Jan-25,145,36.84,7.69,Card,8.7,Aborted,25.4
UK,London,CS-5186,DC Fast,Nissan Leaf,Nissan,40,27-Mar-25,27-Mar-25,90,34.55,4.5,Subscription,30.3,Completed,63
Australia,Sydney,CS-2297,DC Fast,BYD Han,BYD,76,14-Mar-25,14-Mar-25,111,15.95,2.46,Subscription,27.4,Completed,67.7
USA,Los Angeles,CS-5212,DC Fast,Audi e-tron,Audi,95,28-Mar-25,28-Mar-25,75,92.26,26.13,App,4.4,Completed,34.8
Norway,Oslo,CS-6152,Level 2,Audi e-tron,Audi,95,3-Mar-25,3-Mar-25,161,93.6,22.32,App,15.1,Aborted,87.3
France,Nice,CS-9231,Level 2,BMW i3,BMW,42,7-Feb-25,7-Feb-25,79,6.93,1.69,Subscription,32.4,Failed,77.7
Germany,Munich,CS-3636,Level 1,Nissan Leaf,Nissan,40,4-Feb-25,5-Feb-25,56,14.55,5.41,App,-1.3,Completed,75.3
India,Mumbai,CS-5374,Level 2,Porsche Taycan,Porsche,93,25-Jan-25,25-Jan-25,28,39.89,8.46,Card,10,Completed,35.5
Germany,Hamburg,CS-8595,Level 2,Audi e-tron,Audi,95,27-Mar-25,27-Mar-25,52,17.38,3.23,Subscription,28.2,Failed,47.5
Australia,Sydney,CS-6596,DC Fast,Nissan Leaf,Nissan,40,4-Feb-25,4-Feb-25,19,13.96,4.89,Subscription,19.4,Aborted,18.9
China,Beijing,CS-6772,DC Fast,Hyundai Kona Electric,Hyundai,64,21-Mar-25,21-Mar-25,46,7.82,1.77,App,-2.5,Aborted,57.7
