Country,City,Charging_Station_ID,Charging_Station_Type,EV_Model,Manufacturer,Battery_Capacity_kWh,Charging_Start_Time,Charging_End_Time,Charging_Duration_mins,Energy_Delivered_kWh,Charging_Cost_$,Payment_Method,Temperature,Charging_Session_Outcome,Station_Utilization_Rate
USA,San Francisco,CS-4033,Level 2,BYD Han,BYD,76,23-Mar-25,24-Mar-25,172,22.45,4.23,Subscription,14.2,Completed,32.4
UK,Manchester,CS-2080,DC Fast,Chevy Bolt,Chevrolet,66,27-Jan-25,27-Jan-25,179,58.96,15.2,Subscription,26.8,Aborted,72.6
India,Delhi,CS-7752,Level 2,Renault Zoe,Renault,52,11-Jan-25,11-Jan-25,139,21.17,5.71,App,5.8,Completed,35.5
France,Paris,CS-6860,Level 2,Hyundai Kona Electric,Hyundai,64,7-Apr-25,7-Apr-25,29,52.71,12.73,Subscription,35,Completed,18
France,Lyon,CS-9347,DC Fast,Renault Zoe,Renault,52,28-Mar-25,28-Mar-25,29,40.91,15.72,App,9.2,Completed,24.1
Australia,Melbourne,CS-6927,DC Fast,Audi e-tron,Audi,95,6-Feb-25,7-Feb-25,166,7.54,2.34,Subscription,0.7,Completed,76.9
Norway,Trondheim,CS-2250,Level 1,Hyundai Kona Electric,Hyundai,64,10-Mar-25,10-Mar-25,59,33.94,4.31,Subscription,3.8,Failed,48.2
India,Bangalore,CS-2312,Level 2,Chevy Bolt,Chevrolet,66,3-Feb-25,3-Feb-25,48,25.79,3.95,Card,-4.1,Failed,66.4
UK,London,CS-3022,DC Fast,Renault Zoe,Renault,52,3-Apr-25,3-Apr-25,108,50.15,10.64,App,18.4,Aborted,34.1
UK,London,CS-4859,Level 1,Porsche Taycan,Porsche,93,10-Feb-25,10-Feb-25,178,89.54,26.39,Subscription,33.7,Failed,81.2
Australia,Melbourne,CS-6970,DC Fast,Chevy Bolt,Chevrolet,66,17-Feb-25,17-Feb-25,165,54.68,11.68,Subscription,6.8,Completed,68.3
Australia,Melbourne,CS-6245,DC Fast,BYD Han,BYD,76,21-Jan-25,21-Jan-25,23,17.93,3.5,Card,20.6,Completed,84.9
UK,Manchester,CS-4077,DC Fast,Nissan Leaf,Nissan,40,31-Mar-25,1-Apr-25,75,17.14,3.36,Card,27.9,Failed,61.1
India,Delhi,CS-3182,Level 2,Tesla Model 3,Tesla,60,24-Jan-25,24-Jan-25,82,16.53,5.09,App,26.5,Failed,10.1
Canada,Vancouver,CS-8555,Level 2,Porsche Taycan,Porsche,93,20-Mar-25,20-Mar-25,57,82.84,20.54,App,16.8,Completed,76.3
Australia,Brisbane,CS-7590,Level 1,Chevy Bolt,Chevrolet,66,19-Feb-25,19-Feb-25,56,32.53,11.05,App,-4.2,Aborted,86.1
Germany,Munich,CS-6265,Level 1,BMW i3,BMW,42,5-Mar-25,5-Mar-25,111,10.95,1.34,App,18.8,Failed,81.5
USA,Los Angeles,CS-6942,Level 1,BMW i3,BMW,42,26-Jan-25,26-Jan-25,170,37.92,5.58,App,3.2,Completed,42.7
Japan,Yokohama,CS-5730,Level 1,Renault Zoe,Renault,52,17-Mar-25,17-Mar-25,82,36.05,6.82,Card,10.7,Failed,77.2
UK,London,CS-8620,DC Fast,Audi e-tron,Audi,95,11-Feb-25,11-Feb-25,15,43.48,8.19,Subscription,19,Completed,17.8
France,Paris,CS-4157,Level 2,Hyundai Kona Electric,Hyundai,64,28-Feb-25,28-Feb-25,35,32.94,4.44,App,14.6,Failed,31.2
Japan,Osaka,CS-6473,Level 2,BMW i3,BMW,42,10-Jan-25,10-Jan-25,109,37.76,7.96,Card,5.5,Aborted,31.1
China,Shenzhen,CS-5819,Level 1,Tesla Model 3,Tesla,60,22-Feb-25,22-Feb-25,53,46.37,13.92,Subscription,8.8,Failed,43.1
Australia,Sydney,CS-2588,Level 2,Renault Zoe,Renault,52,17-Jan-25,17-Jan-25,30,44.52,15.38,Subscription,22.5,Aborted,55.8
France,Lyon,CS-2139,Level 1,Hyundai Kona Electric,Hyundai,64,10-Jan-25,10-Jan-25,35,28.29,10.08,Subscription,17.8,Failed,74
Australia,Sydney,CS-4131,Level 1,Nissan Leaf,Nissan,40,1-Mar-25,1-Mar-25,129,11.05,4.37,Card,0,Aborted,16.3
Canada,Toronto,CS-4126,Level 1,BMW i3,BMW,42,2-Apr-25,2-Apr-25,167,14.54,5.43,Card,10.5,Aborted,54.2
China,Shenzhen,CS-2197,DC Fast,Kia EV6,Kia,77,4-Mar-25,4-Mar-25,18,61.63,17.68,App,-0.5,Completed,21.9
Australia,Brisbane,CS-3602,Level 2,Nissan Leaf,Nissan,40,2-Feb-25,2-Feb-25,42,24.69,3.22,Subscription,30.2,Aborted,31.1
Norway,Trondheim,CS-6766,Level 1,BYD Han,BYD,76,31-Mar-25,31-Mar-25,136,7.66,1.4,Subscription,19.3,Failed,42.1
Canada,Vancouver,CS-2258,Level 2,Chevy Bolt,Chevrolet,66,11-Jan-25,11-Jan-25,27,50.49,19,Card,8.5,Aborted,34.9
Norway,Trondheim,CS-3961,Level 2,Nissan Leaf,Nissan,40,9-Mar-25,9-Mar-25,73,9.7,3.8,App,5.8,Aborted,58.4
Germany,Berlin,CS-8753,Level 2,Kia EV6,Kia,77,30-Mar-25,30-Mar-25,69,70.77,15.72,Subscription,29.7,Completed,51.2
UK,London,CS-2419,DC Fast,Hyundai Kona Electric,Hyundai,64,9-Jan-25,9-Jan-25,144,28.8,9.62,Subscription,-3.8,Completed,80
France,Paris,CS-9798,DC Fast,Chevy Bolt,Chevrolet,66,18-Feb-25,18-Feb-25,23,32.84,12.33,Card,6,Aborted,50.4
Germany,Hamburg,CS-2857,Level 1,Tesla Model 3,Tesla,60,18-Jan-25,18-Jan-25,76,25.49,7.09,App,18.5,Aborted,37.5
China,Shenzhen,CS-6312,DC Fast,Nissan Leaf,Nissan,40,7-Mar-25,7-Mar-25,87,5.96,0.68,Card,29.3,Failed,28
France,Lyon,CS-2921,DC Fast,Porsche Taycan,Porsche,93,22-Jan-25,22-Jan-25,146,6.76,2.26,Card,14,Completed,61.8
Australia,Sydney,CS-2077,DC Fast,Chevy Bolt,Chevrolet,66,27-Mar-25,27-Mar-25,79,42.11,16.12,Subscription,20.7,Aborted,81.6
India,Delhi,CS-2958,DC Fast,Hyundai Kona Electric,Hyundai,64,30-Mar-25,30-Mar-25,70,32.54,9.86,App,18.4,Completed,50.9
India,Bangalore,CS-7471,Level 2,BYD Han,BYD,76,18-Mar-25,18-Mar-25,170,25.07,7.65,Card,8.5,Aborted,61.2
China,Shanghai,CS-3937,Level 1,Hyundai Kona Electric,Hyundai,64,23-Jan-25,23-Jan-25,63,13.85,4.57,Subscription,11.2,Aborted,64.5
USA,San Francisco,CS-9561,Level 2,Kia EV6,Kia,77,25-Jan-25,25-Jan-25,90,23.68,5.34,Subscription,-3.6,Failed,89.6
France,Lyon,CS-3515,DC Fast,Chevy Bolt,Chevrolet,66,20-Jan-25,20-Jan-25,151,43.94,10.67,App,15.3,Completed,77.3
Japan,Tokyo,CS-8430,DC Fast,Hyundai Kona Electric,Hyundai,64,18-Mar-25,18-Mar-25,39,32.78,10.56,Subscription,25.5,Completed,85.8
India,Bangalore,CS-8443,Level 2,Nissan Leaf,Nissan,40,2-Mar-25,2-Mar-25,71,17.43,5.63,App,26.5,Aborted,39.7
Australia,Melbourne,CS-3921,DC Fast,Kia EV6,Kia,77,5-Apr-25,5-Apr-25,45,38.88,13.99,Subscription,32.8,Completed,47.8
France,Nice,CS-7207,Level 1,Nissan Leaf,Nissan,40,15-Feb-25,15-Feb-25,112,23.54,5.27,Card,34.7,Aborted,42.7
Australia,Melbourne,CS-8754,Level 1,BMW i3,BMW,42,10-Feb-25,10-Feb-25,95,36.91,5.69,App,8.3,Completed,35.1
USA,New York,CS-5398,DC Fast,Kia EV6,Kia,77,19-Jan-25,19-Jan-25,85,20.08,6.67,Card,14.6,Completed,20.4
Canada,Montreal,CS-5971,Level 1,Porsche Taycan,Porsche,93,17-Mar-25,17-Mar-25,118,42.75,10.4,Card,16.4,Failed,39.8
USA,Los Angeles,CS-6008,DC Fast,Renault Zoe,Renault,52,25-Mar-25,25-Mar-25,63,5.84,0.59,Card,4.1,Aborted,35
Germany,Munich,CS-4570,Level 1,Renault Zoe,Renault,52,14-Mar-25,14-Mar-25,165,19.39,2.32,App,32.9,Aborted,68.2
Australia,Brisbane,CS-8426,Level 2,Audi e-tron,Audi,95,21-Feb-25,21-Feb-25,126,84.92,33.85,App,9.4,Completed,23.2
Canada,Toronto,CS-8849,DC Fast,Chevy Bolt,Chevrolet,66,23-Jan-25,23-Jan-25,72,49.36,6.88,Card,18.6,Completed,19.9
USA,Los Angeles,CS-4804,Level 1,Hyundai Kona Electric,Hyundai,64,22-Jan-25,22-Jan-25,151,41.76,11.62,Subscription,-0.7,Completed,13.9
Germany,Munich,CS-2355,DC Fast,Kia EV6,Kia,77,23-Jan-25,23-Jan-25,112,13.9,2.44,Card,3.2,Failed,60.4
China,Shanghai,CS-3727,Level 1,Nissan Leaf,Nissan,40,24-Feb-25,24-Feb-25,148,14.45,4.07,App,28.2,Completed,50.9
Australia,Sydney,CS-6917,DC Fast,Hyundai Kona Electric,Hyundai,64,12-Feb-25,12-Feb-25,44,51.3,12.79,Card,26.1,Failed,87.8
India,Bangalore,CS-7724,Level 1,Porsche Taycan,Porsche,93,19-Jan-25,19-Jan-25,90,19.11,5.05,Subscription,32.3,Aborted,28.8
USA,San Francisco,CS-5759,Level 1,Nissan Leaf,Nissan,40,19-Feb-25,19-Feb-25,43,34.23,10.29,Card,26.2,Completed,67.9
Germany,Munich,CS-8164,Level 2,Chevy Bolt,Chevrolet,66,24-Jan-25,24-Jan-25,131,65.31,12.33,Card,-1,Completed,79.9
China,Shanghai,CS-9627,Level 1,Audi e-tron,Audi,95,24-Mar-25,24-Mar-25,124,71.47,9.18,Card,29.1,Failed,61.8
India,Delhi,CS-6300,Level 2,Kia EV6,Kia,77,30-Mar-25,30-Mar-25,174,24.32,7.78,App,2.3,Aborted,42
Norway,Bergen,CS-6866,Level 1,Porsche Taycan,Porsche,93,28-Mar-25,28-Mar-25,137,75.39,22.21,Card,0.3,Failed,14.7
UK,London,CS-7145,Level 2,Porsche Taycan,Porsche,93,19-Feb-25,19-Feb-25,166,47.48,12.85,Card,19.5,Aborted,58.9
UK,Manchester,CS-7381,Level 1,Kia EV6,Kia,77,5-Mar-25,5-Mar-25,43,68.91,16,App,21.2,Completed,66.4
Japan,Yokohama,CS-5706,Level 2,BYD Han,BYD,76,27-Jan-25,27-Jan-25,159,20.9,8.08,Subscription,15.9,Failed,59.5
Canada,Montreal,CS-1763,Level 2,Chevy Bolt,Chevrolet,66,16-Jan-25,16-Jan-25,138,26.09,7.9,Card,28.6,Failed,81.4
Australia,Sydney,CS-3428,Level 2,Tesla Model 3,Tesla,60,10-Feb-25,10-Feb-25,179,56.39,14.19,App,29.8,Completed,70.1
India,Mumbai,CS-5905,DC Fast,Audi e-tron,Audi,95,14-Feb-25,14-Feb-25,86,9.53,1.59,App,11.1,Completed,16.3
Norway,Trondheim,CS-1838,Level 1,Kia EV6,Kia,77,10-Feb-25,10-Feb-25,37,66.67,15.61,App,24.8,Completed,18.2
Canada,Toronto,CS-9382,DC Fast,Renault Zoe,Renault,52,7-Mar-25,7-Mar-25,155,5.01,0.64,Subscription,20.5,Failed,55
Norway,Bergen,CS-5774,Level 2,Audi e-tron,Audi,95,15-Feb-25,15-Feb-25,28,78.49,27.73,Subscription,25.7,Failed,47.9
India,Bangalore,CS-8682,Level 1,Kia EV6,Kia,77,19-Mar-25,19-Mar-25,44,12.02,3.58,App,9.2,Failed,87.2
China,Shenzhen,CS-9573,Level 1,Renault Zoe,Renault,52,6-Apr-25,6-Apr-25,110,38,4.32,App,0.6,Failed,69.4
Canada,Toronto,CS-4816,Level 2,Hyundai Kona Electric,Hyundai,64,2-Apr-25,2-Apr-25,171,16.56,2.26,Card,13.3,Completed,67.3
Germany,Munich,CS-8512,Level 2,Tesla Model 3,Tesla,60,26-Jan-25,26-Jan-25,177,51.06,14.13,App,21.3,Failed,20.8
Norway,Oslo,CS-1659,DC Fast,Renault Zoe,Renault,52,22-Jan-25,22-Jan-25,27,31,7.13,App,32,Completed,65.3
UK,Birmingham,CS-4335,Level 2,BMW i3,BMW,42,23-Jan-25,23-Jan-25,41,19.33,5.42,Subscription,30.3,Aborted,88.4
France,Lyon,CS-4991,Level 1,Porsche Taycan,Porsche,93,9-Feb-25,9-Feb-25,102,90.4,21.32,Card,11.5,Failed,80.9
Japan,Osaka,CS-6013,DC Fast,Renault Zoe,Renault,52,26-Mar-25,26-Mar-25,95,38.46,14.64,Card,3,Failed,67.2
India,Bangalore,CS-3556,Level 2,BMW i3,BMW,42,5-Feb-25,5-Feb-25,60,23.64,7.29,Subscription,-0.4,Aborted,55
Australia,Brisbane,CS-2488,Level 1,Porsche Taycan,Porsche,93,23-Jan-25,23-Jan-25,151,30.16,10.68,Subscription,-0.7,Aborted,21.6
USA,New York,CS-5533,Level 1,Hyundai Kona Electric,Hyundai,64,16-Jan-25,16-Jan-25,56,63.03,19.23,Card,22.6,Aborted,26.3
Japan,Tokyo,CS-8757,DC Fast,Audi e-tron,Audi,95,16-Feb-25,16-Feb-25,130,14.22,5.13,Subscription,29.6,Failed,61.8
Canada,Toronto,CS-7681,Level 2,Renault Zoe,Renault,52,1-Mar-25,1-Mar-25,88,37.57,4.29,App,11.7,Failed,35
Japan,Tokyo,CS-1166,Level 2,Tesla Model 3,Tesla,60,5-Mar-25,5-Mar-25,79,16.17,5.83,Card,31.5,Failed,66.8
India,Bangalore,CS-9362,Level 1,Renault Zoe,Renault,52,29-Jan-25,29-Jan-25,169,14.23,4.52,App,13,Failed,16
UK,Birmingham,CS-4228,DC Fast,Renault Zoe,Renault,52,17-Jan-25,17-Jan-25,45,22.73,5.19,App,0.2,Failed,77.7
USA,Los Angeles,CS-4626,DC Fast,Kia EV6,Kia,77,13-Mar-25,13-Mar-25,54,7.88,2.98,Card,25.9,Failed,59.2
China,Shanghai,CS-6452,Level 2,BYD Han,BYD,76,8-Mar-25,8-Mar-25,155,30.42,10.2,Subscription,3.8,Completed,51.6
Japan,Tokyo,CS-1449,Level 1,Porsche Taycan,Porsche,93,6-Mar-25,7-Mar-25,154,52.26,6.67,Card,21.5,Aborted,38.9
France,Nice,CS-3155,DC Fast,Renault Zoe,Renault,52,17-Mar-25,17-Mar-25,136,51.84,17.99,Card,-0.4,Aborted,45.7
Australia,Brisbane,CS-9794,Level 1,Chevy Bolt,Chevrolet,66,30-Mar-25,30-Mar-25,25,46.64,9.15,App,5.3,Failed,32.6
Japan,Osaka,CS-1434,DC Fast,Renault Zoe,Renault,52,16-Jan-25,16-Jan-25,145,25.94,2.94,Card,7.8,Completed,85.9
UK,Birmingham,CS-6977,DC Fast,Renault Zoe,Renault,52,21-Jan-25,21-Jan-25,16,34.47,5.63,Card,29.6,Aborted,76.9
France,Nice,CS-4397,DC Fast,Porsche Taycan,Porsche,93,25-Mar-25,25-Mar-25,180,76.87,9.35,Card,-4,Failed,36.5
Germany,Berlin,CS-6664,DC Fast,Tesla Model 3,Tesla,60,12-Mar-25,12-Mar-25,60,48.68,13.02,Card,31.4,Aborted,41
Canada,Vancouver,CS-3910,Level 1,Audi e-tron,Audi,95,31-Mar-25,31-Mar-25,19,40.06,5.43,Subscription,23.8,Completed,70.5
Australia,Sydney,CS-9974,DC Fast,Nissan Leaf,Nissan,40,10-Feb-25,10-Feb-25,106,37.48,4.94,App,19.3,Aborted,71.2
Norway,Bergen,CS-4507,Level 1,Porsche Taycan,Porsche,93,23-Jan-25,23-Jan-25,22,46.71,12.15,Subscription,10.6,Failed,33.6
UK,Manchester,CS-5791,Level 1,Audi e-tron,Audi,95,7-Apr-25,7-Apr-25,17,54.82,14.61,Card,-4.8,Failed,41.5
Japan,Tokyo,CS-3097,Level 2,Hyundai Kona Electric,Hyundai,64,7-Apr-25,7-Apr-25,68,49.15,18.24,Card,11.5,Failed,78.1
UK,London,CS-2505,Level 1,BMW i3,BMW,42,3-Apr-25,3-Apr-25,71,27.82,4.89,Card,21.8,Failed,78.2
Japan,Osaka,CS-4317,Level 1,Renault Zoe,Renault,52,8-Jan-25,8-Jan-25,33,18.66,2.24,Card,24,Aborted,86.1
India,Mumbai,CS-9222,Level 1,Chevy Bolt,Chevrolet,66,24-Feb-25,24-Feb-25,40,22.39,2.71,App,14.4,Aborted,59.3
China,Shenzhen,CS-4699,Level 2,BYD Han,BYD,76,15-Mar-25,15-Mar-25,54,45.15,9.45,App,1.7,Aborted,29.7
France,Nice,CS-1115,DC Fast,Porsche Taycan,Porsche,93,17-Jan-25,17-Jan-25,85,78.93,11.07,App,30.1,Aborted,45.6
China,Shanghai,CS-1245,Level 2,Renault Zoe,Renault,52,7-Apr-25,7-Apr-25,42,13.26,3.74,Card,30.7,Completed,31.1
Germany,Hamburg,CS-5662,DC Fast,Nissan Leaf,Nissan,40,7-Feb-25,7-Feb-25,19,34.74,10.06,Subscription,11.2,Failed,27
USA,San Francisco,CS-5516,DC Fast,Hyundai Kona Electric,Hyundai,64,26-Mar-25,27-Mar-25,154,57.75,15.12,Card,9.6,Completed,81.3
Australia,Brisbane,CS-8310,Level 2,Hyundai Kona Electric,Hyundai,64,26-Mar-25,26-Mar-25,49,32.42,8.21,App,15.1,Failed,29.1
Australia,Brisbane,CS-1339,DC Fast,BMW i3,BMW,42,16-Mar-25,16-Mar-25,146,10.19,1.51,Subscription,21.4,Completed,68.9
Norway,Bergen,CS-1616,Level 2,Tesla Model 3,Tesla,60,11-Feb-25,11-Feb-25,71,46.88,7.95,App,4.4,Failed,26.5
India,Delhi,CS-8874,DC Fast,Kia EV6,Kia,77,22-Mar-25,22-Mar-25,131,68.47,7.67,App,-0.9,Failed,60.7
China,Shenzhen,CS-1208,DC Fast,Hyundai Kona Electric,Hyundai,64,12-Mar-25,12-Mar-25,163,37.12,5.65,App,9.6,Failed,81.9
Germany,Hamburg,CS-9397,Level 2,Hyundai Kona Electric,Hyundai,64,15-Feb-25,15-Feb-25,111,62.39,10.41,App,27.7,Aborted,48.9
Norway,Trondheim,CS-4656,Level 1,Tesla Model 3,Tesla,60,28-Jan-25,28-Jan-25,143,53.51,12.41,Card,15.6,Aborted,26.9
UK,London,CS-6546,Level 1,Audi e-tron,Audi,95,3-Apr-25,3-Apr-25,169,69.56,9.43,App,27.4,Failed,19.1
Norway,Bergen,CS-5288,Level 1,Chevy Bolt,Chevrolet,66,17-Jan-25,18-Jan-25,166,14.84,5.19,Card,-3.3,Failed,57.4
UK,Birmingham,CS-2607,Level 1,Renault Zoe,Renault,52,16-Jan-25,16-Jan-25,25,46.87,6.75,App,31.9,Failed,86.7
Australia,Brisbane,CS-8665,DC Fast,Tesla Model 3,Tesla,60,21-Feb-25,21-Feb-25,87,57.1,9.42,App,29.7,Completed,27.5
Canada,Montreal,CS-2818,DC Fast,BMW i3,BMW,42,5-Feb-25,5-Feb-25,164,35.36,5.47,Subscription,5.6,Failed,64.8
Norway,Trondheim,CS-5589,Level 1,BYD Han,BYD,76,16-Feb-25,16-Feb-25,32,21.32,4.6,Card,3.1,Failed,64.7
UK,Birmingham,CS-5960,Level 1,Nissan Leaf,Nissan,40,16-Feb-25,17-Feb-25,60,21.66,6.16,Subscription,15.1,Completed,17.5
UK,Birmingham,CS-4920,DC Fast,Renault Zoe,Renault,52,5-Apr-25,6-Apr-25,15,47.16,15.68,App,15.9,Aborted,80
Japan,Osaka,CS-3035,DC Fast,Chevy Bolt,Chevrolet,66,23-Mar-25,23-Mar-25,138,53.16,11.4,Subscription,31.3,Failed,56.1
Canada,Toronto,CS-1139,Level 1,Hyundai Kona Electric,Hyundai,64,26-Mar-25,26-Mar-25,137,50.19,18.72,App,18.9,Failed,42.7
France,Paris,CS-7310,Level 2,Tesla Model 3,Tesla,60,24-Mar-25,24-Mar-25,162,33.74,8.64,Subscription,3.2,Aborted,42.7
Germany,Berlin,CS-7631,Level 2,Porsche Taycan,Porsche,93,21-Feb-25,21-Feb-25,164,27.32,9.74,Subscription,9.6,Aborted,89.3
Canada,Toronto,CS-7826,Level 2,Porsche Taycan,Porsche,93,5-Mar-25,5-Mar-25,156,73.97,18.1,Subscription,17.2,Aborted,89.1
Australia,Melbourne,CS-6094,DC Fast,Porsche Taycan,Porsche,93,22-Mar-25,22-Mar-25,50,80.24,23.89,Card,12.9,Failed,85.9
Germany,Berlin,CS-7851,DC Fast,Renault Zoe,Renault,52,11-Jan-25,11-Jan-25,117,41.95,14.27,Subscription,22.4,Completed,22.9
USA,New York,CS-2002,Level 1,BMW i3,BMW,42,2-Mar-25,2-Mar-25,135,39.26,9.05,App,3.9,Completed,58.7
Canada,Vancouver,CS-1213,Level 1,BYD Han,BYD,76,19-Jan-25,19-Jan-25,148,25.34,9.86,Card,20.6,Aborted,10.9
Japan,Osaka,CS-5757,DC Fast,Chevy Bolt,Chevrolet,66,19-Feb-25,19-Feb-25,23,52.82,13.37,Card,19.6,Failed,12.9
France,Nice,CS-8955,Level 2,Tesla Model 3,Tesla,60,18-Feb-25,18-Feb-25,55,9.78,1.79,App,21.8,Aborted,56.9
Japan,Tokyo,CS-5643,DC Fast,Nissan Leaf,Nissan,40,23-Jan-25,23-Jan-25,38,24.24,7.7,Subscription,8.9,Aborted,28.1
France,Lyon,CS-5279,DC Fast,Porsche Taycan,Porsche,93,7-Apr-25,7-Apr-25,162,5.41,0.83,Card,17.3,Failed,33.5
Germany,Hamburg,CS-2274,DC Fast,Hyundai Kona Electric,Hyundai,64,27-Jan-25,27-Jan-25,152,52.98,14.44,App,33.6,Failed,48.7
France,Lyon,CS-4875,Level 2,Kia EV6,Kia,77,31-Mar-25,31-Mar-25,132,69.55,24.94,Card,5.3,Aborted,60.7
France,Nice,CS-5409,DC Fast,Chevy Bolt,Chevrolet,66,9-Feb-25,9-Feb-25,95,30.16,6.21,Card,23,Aborted,29.9
Germany,Munich,CS-6858,Level 2,Audi e-tron,Audi,95,18-Feb-25,18-Feb-25,34,54.91,8.43,App,3.7,Failed,31.5
France,Lyon,CS-1695,Level 1,Chevy Bolt,Chevrolet,66,6-Feb-25,6-Feb-25,75,49.86,18.04,Card,3.1,Completed,76.9
India,Mumbai,CS-8166,DC Fast,Nissan Leaf,Nissan,40,31-Jan-25,31-Jan-25,45,37.21,11.27,App,19.6,Failed,86.6
Norway,Bergen,CS-6526,DC Fast,BYD Han,BYD,76,9-Mar-25,9-Mar-25,95,39.96,15.81,App,14.6,Failed,32.4
France,Nice,CS-4234,DC Fast,BMW i3,BMW,42,15-Mar-25,15-Mar-25,28,24.45,5.55,Card,15.1,Aborted,78.8
UK,Manchester,CS-7402,Level 1,Nissan Leaf,Nissan,40,15-Feb-25,15-Feb-25,147,21.1,6.47,Subscription,3.4,Failed,18.1
India,Bangalore,CS-1893,Level 2,Hyundai Kona Electric,Hyundai,64,24-Jan-25,24-Jan-25,62,37.37,6.4,Subscription,8.7,Completed,49.9
France,Lyon,CS-9478,Level 1,Audi e-tron,Audi,95,30-Mar-25,30-Mar-25,108,81.89,15.06,Subscription,0.2,Failed,64.9
Germany,Hamburg,CS-4611,Level 1,Hyundai Kona Electric,Hyundai,64,23-Feb-25,23-Feb-25,75,37.77,13.48,Card,27,Failed,22
USA,New York,CS-9354,DC Fast,Porsche Taycan,Porsche,93,21-Jan-25,21-Jan-25,142,16.83,6.19,Subscription,16.4,Aborted,72.8
China,Shanghai,CS-7399,Level 1,Renault Zoe,Renault,52,11-Feb-25,11-Feb-25,160,7.24,0.94,Card,3.6,Aborted,48.1
Germany,Munich,CS-9822,Level 2,Audi e-tron,Audi,95,19-Mar-25,19-Mar-25,81,37.49,10.05,App,-4.2,Completed,38.1
Australia,Sydney,CS-1018,Level 2,BYD Han,BYD,76,6-Apr-25,6-Apr-25,162,51.14,13.37,App,8,Failed,49
Norway,Oslo,CS-2984,Level 1,Porsche Taycan,Porsche,93,26-Mar-25,26-Mar-25,172,30.21,8.75,Card,20.6,Aborted,43.7
Australia,Brisbane,CS-5173,Level 2,Porsche Taycan,Porsche,93,2-Feb-25,2-Feb-25,33,11.96,2.43,App,21.1,Failed,31.4
Canada,Vancouver,CS-7845,Level 2,Kia EV6,Kia,77,22-Mar-25,22-Mar-25,107,58.85,15.08,App,1.7,Completed,20
